Region,Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
The comoros,科摩罗,COM,军费支出（占GDP的百分比）,MS.MIL.XPND.GD.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cape Verde,",佛得角,CPV,军费支出（占GDP的百分比）,MS.MIL.XPND.GD.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.792398965,2.463444386,2.335531481,2.103676174,1.913885606,0,0,0,0.992592471,0.756580531,0.838878589,1.265080851,0.84417531,0.831007455,0.858540442,0.838543201,1.154025913,0.753615197,0.66548029,0.648753559,0.630978438,0.649497233,0.564741208,0.524703169,0.601269382,0.490877611,0.495061947,0.523241061,0.555765135,0.530303913,0.540807447,0.558982326,0.620817347,0.537769951,0.553854418
Costa Rica.,哥斯达黎加,CRI,军费支出（占GDP的百分比）,MS.MIL.XPND.GD.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Small Caribbean country,加勒比小国,CSS,军费支出（占GDP的百分比）,MS.MIL.XPND.GD.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.317649806,1.071512065,0,0,0,0.983419943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cuba,古巴,CUB,军费支出（占GDP的百分比）,MS.MIL.XPND.GD.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.380960052,3.326856112,3.084505001,3.937599978,3.512728781,3.536004761,3.083791445,3.07212433,2.872403239,0
Curacao,库拉索,CUW,军费支出（占GDP的百分比）,MS.MIL.XPND.GD.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The cayman islands,开曼群岛,CYM,军费支出（占GDP的百分比）,MS.MIL.XPND.GD.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cyprus,塞浦路斯,CYP,军费支出（占GDP的百分比）,MS.MIL.XPND.GD.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.270291696,1.577157899,5.391477698,5.700256029,5.369355098,7.374035613,7.264776122,9.129286044,4.074952605,4.023989196,3.041034215,4.524714829,5.57391077,4.676317946,2.73385097,2.822090151,3.153222159,2.130160735,1.985163124,1.955769162,2.037469606,1.899997625,1.684599562,1.629996567,1.817010496,1.868440929,1.749026594,1.655232003,1.598137735,1.531461398,1.666063715,1.444332986,1.62751716,1.572161935
Czech Rep,捷克共和国,CZE,军费支出（占GDP的百分比）,MS.MIL.XPND.GD.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.330404066,2.283400858,1.843622773,1.731904688,1.662045791,1.82593182,1.859069923,1.877356956,1.751249558,1.824406968,1.892764044,1.713703173,1.790083772,1.575906158,1.430914735,1.23821201,1.318537078,1.203940276,1.08546999,1.070811387,1.026151453,0.973390214,0.952677705,1.002162337,0.96908579,1.123605709
Germany,德国,DEU,军费支出（占GDP的百分比）,MS.MIL.XPND.GD.ZS,4.004952608,3.97312792,4.776337045,5.20480475,4.657705926,4.346192919,4.153081726,4.331961374,3.618810593,3.610562007,3.200499168,3.25104937,3.36503426,3.35665199,3.464507053,3.487958476,3.33110144,3.227762592,3.239608802,3.149029659,3.146020393,3.231572191,3.223515188,3.215736917,3.108704883,3.046190104,2.964334269,2.945180401,2.805597842,2.690353639,2.675482903,2.12242056,1.976500012,1.799147865,1.646952122,1.588252022,1.55726982,1.497186199,1.47763139,1.482071597,1.443623375,1.405968301,1.410769976,1.399048683,1.348089949,1.329937502,1.268776768,1.237053513,1.281316605,1.388906954,1.35365069,1.281112196,1.311261447,1.223993716,1.182505896,1.177456492,1.189904265,1.234141102,1.233768757
djibouti,吉布提,DJI,军费支出（占GDP的百分比）,MS.MIL.XPND.GD.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020942408,0.01750547,0.535539602,1.415326001,7.485064011,7.659693166,0,0,0,0,0,0,0,6.650884508,6.760028054,6.158737241,5.757444699,5.791646029,5.080478793,5.474986078,5.65087454,5.478089713,5.069101191,0,0,0,5.607179054,6.328690626,6.441955821,4.071943588,3.688071066,0,0,0,0,0,0,0,0,0,0
Dominica,多米尼克,DMA,军费支出（占GDP的百分比）,MS.MIL.XPND.GD.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Denmark,丹麦,DNK,军费支出（占GDP的百分比）,MS.MIL.XPND.GD.ZS,2.728877556,2.586811645,3.018273104,3.041523894,2.842914471,2.832137733,2.636749699,2.588210924,2.67593415,2.391607631,2.429119966,2.362222189,2.179973346,1.975807583,2.234843932,2.397249542,2.204203185,2.216303129,2.271821195,2.251527372,2.363092523,2.438666392,2.419895025,2.364742876,2.235470726,2.104672107,1.944819237,2.031647483,2.087470632,2.024220137,1.950757035,1.95468015,1.889377285,1.90719767,1.770109883,1.685314665,1.644816658,1.615961205,1.608026388,1.564854723,1.457444051,1.53238072,1.508149852,1.46685125,1.423704234,1.31148864,1.377492183,1.307247052,1.355004524,1.350178237,1.398621479,1.31353101,1.351819154,1.227252022,1.149273281,1.111446132,1.151786292,1.146016169,1.181415207
Dominican Rep.,多米尼加共和国,DOM,军费支出（占GDP的百分比）,MS.MIL.XPND.GD.ZS,5.231525748,5.229793978,4.319654428,3.865213082,3.783495059,4.212070411,3.462719911,3.191868759,3.245171394,2.64782447,2.416694716,2.196219622,1.987521385,1.791273937,1.965065502,1.831013309,1.928381627,1.885723006,2.17556607,2.182294319,1.583543216,1.720128253,1.582040078,1.366505433,1.198895981,1.210052351,1.344154055,1.018139942,0.880047488,0.800367985,0.675729388,0.348155032,0.559086816,0.755070036,0.733765624,0.549477868,0.63365161,0.796926407,0.780062374,0.816243888,1.030096472,1.213496052,1.058919211,0.764145027,0.687618052,0.766536372,0.683423361,0.627619057,0.699861657,0.66746117,0.667531705,0.60292806,0.653151462,0.611824773,0.662335562,0.665687802,0.663297901,0.700998298,0.743856125
Algeria,阿尔及利亚,DZA,军费支出（占GDP的百分比）,MS.MIL.XPND.GD.ZS,0,0,0,2.511485452,3.496453901,3.418635171,3.512593601,3.019100431,2.614727855,2.386867358,2.130539184,2.087585034,1.795843966,1.688161994,1.957668149,2.131094293,2.701721228,2.241950459,2.375228938,2.138695866,2.102063296,1.818048875,2.063097441,1.951213252,1.755124007,1.643706897,1.787213666,1.856376277,1.749698749,1.540123779,1.461070586,1.210834059,2.14013213,2.505631577,3.146430012,2.935027107,3.094088396,3.637403468,3.965673788,3.755079983,3.433385635,3.820695463,3.700829359,3.251210893,3.283884523,2.83417835,2.643807548,2.923321027,3.024747141,3.848513698,3.518012609,4.325706359,4.46107862,4.844508917,5.548483336,6.270242931,6.381112805,6.014253329,5.271414046
East Asia and the Pacific (excluding high income),东亚与太平洋地区（不包括高收入）,EAP,军费支出（占GDP的百分比）,MS.MIL.XPND.GD.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.394058829,2.36639803,2.296997952,2.344249157,2.000427146,1.887261442,1.82719428,1.766553469,1.741088922,1.666483963,1.789930917,1.716090627,1.871282734,1.94542702,1.926923074,1.866684374,1.795248377,1.78883496,1.761359167,1.738440518,1.902249898,1.735730265,1.686697294,1.70395352,1.761220884,1.789842996,1.812935922,1.821111007,1.78030526,1.748862688
Early demographic dividend,早人口紅利,EAR,军费支出（占GDP的百分比）,MS.MIL.XPND.GD.ZS,2.352423963,2.236004484,2.65409335,2.903292721,2.821508998,3.081086484,2.963730216,3.162399908,3.356896204,3.532012113,3.861236238,3.829287186,3.779799803,3.762383985,4.050199436,4.84209595,5.05044994,5.915284205,5.713413009,4.996210909,4.503726893,4.782005468,5.461424553,5.150871029,5.088343993,4.719783349,3.934145342,4.613780841,4.305365845,3.86904411,3.609161442,3.608266656,3.187973739,3.016983274,2.805094442,2.764749149,2.654946073,2.784802856,2.867773237,2.707625546,2.576661185,2.571997703,2.565663303,2.51828401,2.437495893,2.371705486,2.313895824,2.269492525,2.24226388,2.520198097,2.315059276,2.222632257,2.302008663,2.411653385,2.544505242,2.671807767,2.43404922,2.431775642,2.348043959
East Asia and the Pacific,东亚与太平洋地区,EAS,军费支出（占GDP的百分比）,MS.MIL.XPND.GD.ZS,0,0,0,0,0,0,0,1.644720107,1.59252156,1.492958712,1.418091153,1.432504261,1.371831581,1.245888237,1.415872602,1.460865892,1.660954846,1.673416542,1.58452875,1.656642868,1.748868178,1.771458323,1.859199765,1.772493183,1.731454712,1.720836673,1.533119552,1.51101205,1.477140141,1.588616478,1.604506235,1.56360209,1.571987789,1.492065492,1.438574699,1.402291146,1.436755408,1.449984456,1.417829987,1.41851341,1.370457794,1.444929866,1.488502456,1.487718531,1.469732576,1.486576522,1.52008574,1.537115257,1.545119751,1.653626527,1.563181384,1.55326772,1.561632947,1.62583656,1.676287859,1.715301437,1.704540966,1.68523621,1.667240329
Europe and central Asia (excluding high income),欧洲与中亚地区（不包括高收入）,ECA,军费支出（占GDP的百分比）,MS.MIL.XPND.GD.ZS,3.531571219,3.764542936,3.711083437,3.387339056,3.422465209,3.554418605,3.143981117,3.259574468,3.275555556,3.0793379,3.25648855,3.499793814,3.445520581,3.349450549,3.19302138,5.119453925,4.943027211,4.713623024,4.187306404,3.357258558,3.900313297,3.82453187,4.298151312,3.937605205,3.672784405,3.589228558,3.691572611,0,0,0,0,0,4.155878239,3.58573718,3.938581858,3.450326367,3.503115969,3.74866119,2.864971696,3.219330198,3.222489857,3.241083883,3.383365041,3.164075673,2.813586256,2.746521846,2.729397845,2.638575245,2.626027583,3.02473477,2.819325043,2.738991861,2.905176432,2.952784356,3.047574237,3.263817931,3.53032654,3.062992847,3.090150077
Europe and central Asia,欧洲与中亚地区,ECS,军费支出（占GDP的百分比）,MS.MIL.XPND.GD.ZS,4.636458607,4.55062675,4.552351493,4.355002619,4.236966316,4.118189989,4.036867852,3.982186708,3.852773068,3.568594542,3.290372432,3.273208387,3.302329123,3.159465744,3.183562627,3.296286631,3.203586691,3.181366337,3.126780563,3.091023894,3.115467037,3.192339922,3.275897703,3.243776904,3.18205037,3.12949651,3.001546264,2.965860969,2.829378347,2.738043154,2.671342498,2.528787943,2.498826648,2.382758674,2.300374011,2.105257738,2.078325741,2.065523796,1.949090416,1.92589189,1.898770937,1.866385347,1.886579681,1.874058916,1.83133677,1.799870791,1.762783148,1.737429581,1.767050223,1.879328722,1.821519657,1.770562793,1.808903044,1.771922706,1.730976412,1.718537562,1.744669388,1.702950896,1.703938556
Ecuador,厄瓜多尔,ECU,军费支出（占GDP的百分比）,MS.MIL.XPND.GD.ZS,2.376236784,2.046766984,2.045453783,1.765212311,1.909954013,2.069565217,1.824221519,1.804423333,1.923973498,2.370616301,1.833689718,1.85402517,1.990023208,1.976570409,2.015889956,2.366808985,2.200687668,3.080372169,2.142726489,1.987493749,1.781224699,1.677840318,1.654002831,1.57477835,1.485232327,1.779738554,1.837386828,1.966316149,1.977626848,1.923989193,1.890323788,1.778360165,1.667206599,1.821421501,1.559343468,2.34132011,1.950397527,2.104171235,2.357234865,1.751925046,1.452075953,1.569375982,1.768891985,2.278553365,1.940332799,2.298402791,2.029825877,2.56823582,2.665041736,3.117418088,3.010551292,3.095110057,2.945452865,2.875890683,2.739230809,2.616074159,2.5147668,2.361263384,2.376711515
Egypt,阿拉伯埃及共和国,EGY,军费支出（占GDP的百分比）,MS.MIL.XPND.GD.ZS,0,0,6.67547918,8.664688427,10.32838983,10.11743451,8.718268831,8.907698509,11.13304382,14.33605341,15.98788287,17.18701218,13.56453029,13.51351351,17.27424351,15.43184609,13.72689611,13.11205847,9.940713483,6.468937876,6.160310278,7.416909621,7.188960605,7.958673933,8.26523207,7.856933059,7.498130566,6.528742771,5.060876623,3.968098958,3.467699536,3.611744704,3.215500632,3.097736992,3.153934651,3.082036234,2.97481187,2.841485218,2.659383291,2.569767478,2.55126514,2.98556856,3.278454797,3.17728527,2.877531237,2.714220407,2.606218603,2.379634675,2.180785485,2.032645043,1.952967042,1.837025559,1.648175793,1.610056977,1.689694836,1.723147428,1.667282059,1.422609271,1.24706924
European monetary union,欧洲货币联盟,EMU,军费支出（占GDP的百分比）,MS.MIL.XPND.GD.ZS,4.221481249,4.120593118,4.129876499,3.899666791,3.800425886,3.655047072,3.67546347,3.644248465,3.601740794,3.30969754,3.073488335,3.071583565,3.120388113,3.027986906,3.049869184,3.099430339,3.019465927,3.028729841,3.005446081,2.971148395,2.929339389,3.016807386,3.052598198,3.029000016,2.954082626,2.897169829,2.823226148,2.830093936,2.711430228,2.602102544,2.529667587,2.325215519,2.209655583,2.141366466,2.053715776,1.918374076,1.898255421,1.85773539,1.811071287,1.789232786,1.752342856,1.701928926,1.686585475,1.686859765,1.671253384,1.62825717,1.574778444,1.529801745,1.566460761,1.663524727,1.58906195,1.524970801,1.52035468,1.464423542,1.41991864,1.40467062,1.427679092,1.454402703,1.448379996
Eritrea,厄立特里亚,ERI,军费支出（占GDP的百分比）,MS.MIL.XPND.GD.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.32911392,12.71594203,19.53911241,20.34481906,11.86041497,32.49706661,34.37776845,32.65567119,22.13679156,20.67187836,20.86574531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spain,西班牙,ESP,军费支出（占GDP的百分比）,MS.MIL.XPND.GD.ZS,2.250747022,2.031244826,2.267745892,1.96963292,1.930558573,1.884866825,2.07961936,1.851956944,2.297672519,2.434167534,2.286616226,2.107971746,2.317782098,2.110741725,2.207563937,2.004262233,2.321046932,2.314232663,2.357957301,2.497064901,2.489895785,2.582108745,2.660306746,2.9362729,2.966005504,2.954721708,2.62503668,2.614700689,2.489375217,2.359675142,2.293305209,2.129192231,2.042803676,2.011871737,2.001337402,1.917022395,1.814439016,1.722815679,1.757319949,1.755234589,1.725517988,1.632996821,1.456486691,1.420409174,1.426928792,1.382394156,1.364365549,1.356462347,1.359431118,1.346106582,1.376820068,1.323557685,1.411704005,1.266138113,1.247615193,1.266621653,1.132741836,1.22599306,1.273090961
Estonia,爱沙尼亚,EST,军费支出（占GDP的百分比）,MS.MIL.XPND.GD.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.761751961,1.041630274,0.958098327,0.873596074,1.046772487,1.067491718,1.287113364,1.376327115,1.502214462,1.667129501,1.743049295,1.699689225,1.899257555,1.857014265,1.997981423,2.092960807,2.209126255,1.70352622,1.679902519,1.895745981,1.906796455,1.924113396,2.024016182,2.075392382,2.028362263,2.058544681
Ethiopia,埃塞俄比亚,ETH,军费支出（占GDP的百分比）,MS.MIL.XPND.GD.ZS,0,1.855877617,1.932190329,2.428366762,2.921584479,3.229935251,3.107199084,2.48622497,2.195616369,2.020664553,1.883109803,1.906071504,1.936410256,1.925554082,2.794582393,4.492062115,4.131722525,3.967780853,4.810902452,6.886588009,8.708582133,7.536958032,7.539018428,7.179617834,7.969148162,6.823904199,6.697237569,6.855673685,8.50143611,10.27664846,9.657969809,5.705131545,3.441708349,3.071688351,2.868438702,2.225616054,2.117138489,3.343177478,7.276936149,9.506942683,7.613843906,4.349020778,3.719388099,3.238842734,3.072650407,2.761551436,2.266537384,1.86327402,1.489809217,1.184802596,1.133586485,1.090707444,0.86836209,0.806417117,0.768411101,0.705413868,0.701484929,0.676662211,0.641920293
The European Union,欧洲联盟,EUU,军费支出（占GDP的百分比）,MS.MIL.XPND.GD.ZS,4.815629218,4.688026408,4.684265213,4.482027421,4.352385282,4.214300599,4.131305741,4.075620592,3.942757145,3.636884607,3.323246918,3.30564795,3.342700603,3.200551365,3.231453245,3.301802029,3.19467363,3.179469564,3.149044314,3.125065155,3.15558529,3.24044424,3.320268633,3.293135642,3.238703969,3.171729804,3.041311056,3.010093894,2.870645075,2.767366197,2.68729897,2.533995742,2.393737537,2.293867265,2.194913372,2.028692048,1.994587673,1.953031185,1.905067528,1.869027208,1.830087319,1.796392096,1.794507778,1.795313308,1.767137254,1.724969802,1.671151506,1.636003889,1.655744103,1.744083327,1.683093623,1.615419636,1.60564083,1.540606254,1.497460821,1.483341045,1.479279448,1.491154108,1.498374478
Vulnerable and conflict-affected situations,脆弱和受衝突影響的情況下,FCS,军费支出（占GDP的百分比）,MS.MIL.XPND.GD.ZS,0,0,0,0,3.781088345,0,1.903757016,0,4.278386015,4.628023623,4.441445636,4.241403797,4.478208695,4.820995673,5.788365425,6.051944823,6.333958261,5.658643062,5.419305872,5.195984368,6.14813865,8.155967664,0,0,0,0,0,0,0,0,0,0,0,4.424868388,0,0,3.340857452,3.325720757,4.072090061,3.993472276,3.502222858,3.598759623,3.895932865,3.190533196,3.009446404,2.641100898,2.539422618,2.720692169,2.725811329,3.357658207,0,2.470051007,2.569487166,3.399173787,3.604635512,3.48618853,2.908416597,3.01625082,2.358552958
Finland,芬兰,FIN,军费支出（占GDP的百分比）,MS.MIL.XPND.GD.ZS,1.769041048,1.83618152,2.513178309,1.927141787,1.859273032,1.797340383,1.713951314,1.615521153,1.7550744,1.437477698,1.375854017,1.449046875,1.530845544,1.45370204,1.270178667,1.50815982,1.340124617,1.405352011,1.429444105,1.47900931,1.67093548,1.545586731,1.64375015,1.823263814,1.604041801,1.676579073,1.723909953,1.64553301,1.607691173,1.534314492,1.563351499,1.781231036,1.907131012,1.868011507,1.755603595,1.422541499,1.530472271,1.535155051,1.463175558,1.223103772,1.241147504,1.144512833,1.154637229,1.446857263,1.470163565,1.467190429,1.444766675,1.290887944,1.394917394,1.566932596,1.500074054,1.497950414,1.536089853,1.541276102,1.461985458,1.462281254,1.428895336,1.365689345,1.398520425
Fiji,斐济,FJI,军费支出（占GDP的百分比）,MS.MIL.XPND.GD.ZS,0,0,0,0,0,0,0,0,0,0,0.187695516,0.21708353,0.248851455,0.218740763,0.242222222,0.300497866,0.396150762,0.507575758,0.873095001,0.938856942,0.862051438,0.919420509,1.251122687,1.344773245,1.32439426,1.227497152,1.130875009,2.133497133,2.222852104,2.459128531,2.284297287,2.34718563,1.992879472,1.958366865,1.843912731,1.778338813,1.542849895,1.478607331,1.364028947,1.226047951,1.902479248,1.97650996,1.677510099,1.61027625,1.715759387,1.433805394,1.742541049,2.219525882,1.46933176,1.725942861,1.550650958,1.610403918,1.490961694,1.386777448,1.027698998,0.972394348,0.913179008,0.917588308,0.922839462
France,法国,FRA,军费支出（占GDP的百分比）,MS.MIL.XPND.GD.ZS,6.462674581,6.304481389,6.141695391,5.643126302,5.405219911,5.23267819,5.107417053,5.113539464,4.924962559,4.380786549,4.117452549,3.94784673,3.845714589,3.742633697,3.674442839,3.80623827,3.7574203,3.847219419,3.75188172,3.737486209,3.756307768,3.864558028,3.838017389,3.85384243,3.794599576,3.742887987,3.673638571,3.714933353,3.527700432,3.428595953,3.339703219,3.347880617,3.203262374,3.201921972,3.167206841,2.967345243,2.874458874,2.827952381,2.65032647,2.592746984,2.482238086,2.417565986,2.436093559,2.494931519,2.505253756,2.409246251,2.351377133,2.280514691,2.261767334,2.486338205,2.33790694,2.257661284,2.236926011,2.220396951,2.230360063,2.26989054,2.327323645,2.349678514,2.293942799
The faroe islands,法罗群岛,FRO,军费支出（占GDP的百分比）,MS.MIL.XPND.GD.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Federated states of Micronesia,密克罗尼西亚联邦,FSM,军费支出（占GDP的百分比）,MS.MIL.XPND.GD.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gabon,加蓬,GAB,军费支出（占GDP的百分比）,MS.MIL.XPND.GD.ZS,0,0,0,0,0,0,0,1.107784431,1.015088885,1.367595697,1.432401915,1.440532826,1.550230415,1.303538175,0.679580307,0.780709343,0.668474482,1.029701536,0,1.877133106,1.603627516,2.28680324,2.447640676,2.553586628,2.255494152,2.859046984,3.995927717,0,0,0,0,0,0,0,0,0,0,0,0,0,1.801452248,1.793952098,1.783170277,1.668327933,1.613166169,1.248682169,1.28261921,0,0,0,1.871622566,1.46243423,1.619804648,1.604047179,1.144818396,1.185025608,1.447542623,1.810489469,1.53120763
United Kingdom,英国,GBR,军费支出（占GDP的百分比）,MS.MIL.XPND.GD.ZS,6.343041412,6.190022143,6.210393713,6.082126186,5.899067585,5.756799452,5.588717004,5.576792793,5.313323755,4.920792648,4.648215827,4.539927703,4.624636318,4.387739522,4.533753671,4.775381152,4.628621089,4.403047422,4.232914485,4.185259512,4.489463054,4.457141795,4.812695462,4.826610444,4.926054775,4.758479322,4.525165058,4.191440132,3.768974595,3.613956986,3.562321232,3.681790403,3.456342889,3.211234729,3.024573401,2.56359446,2.447029771,2.29637295,2.245752281,2.184946439,2.138999634,2.173062297,2.236917518,2.296706387,2.245299173,2.184207703,2.131196356,2.139425291,2.259453119,2.418435181,2.36792473,2.287394211,2.185441954,2.065024666,1.948806997,1.859612024,1.810780168,1.771093843,1.782205381
Georgia,格鲁吉亚,GEO,军费支出（占GDP的百分比）,MS.MIL.XPND.GD.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.21021611,1.253622552,1.136974572,0.924390502,0.615582172,0.740185796,1.000532455,1.068489472,1.37383834,3.339181991,5.218311953,9.159105085,8.520097091,5.606582898,3.902446079,3.247604505,3.104604111,2.737697377,2.517582317,2.140412871,2.199119141,2.032071264,1.935046518
Ghana,加纳,GHA,军费支出（占GDP的百分比）,MS.MIL.XPND.GD.ZS,1.706659013,2.103004292,2.001003009,2.016348774,1.921988682,1.73260573,2.226613966,0,2.655882353,2.501250625,2.118193891,1.701319472,1.429840142,1.364934323,1.581545064,1.714934696,1.566809684,1.253247335,0.851281807,0.646304302,0.773574779,0.741113532,0.541347121,0.341179539,0.593211882,1.000443087,0.900516844,0.892627346,0.437880518,0.430846522,0.276510427,0.368975045,0.37734722,0.42195164,0.426586696,0.466092658,0.393540835,0.405428573,0.471706006,0.471795171,0.627279006,0.373922952,0.368353827,0.428512777,0.389777264,0.367459297,0.371042977,0.509249882,0.39844462,0.455352364,0.380677684,0.592259763,0.804165256,0.533396427,0.678998541,0.526514224,0.382466724,0.401718843,0.413916817
Gibraltar,直布罗陀,GIB,军费支出（占GDP的百分比）,MS.MIL.XPND.GD.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guinea,几内亚,GIN,军费支出（占GDP的百分比）,MS.MIL.XPND.GD.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.902357646,0.793828345,0.639108638,0,0,0,0,0,0,0,0,2.38055426,1.694640615,1.340709363,1.356116905,0,0,1.172819262,1.254991803,1.595131143,1.534637514,3.100210546,3.324680244,2.441181415,2.22856441,0,0,0,0,0,0,0,2.980528209,3.158334882,2.973182386,3.305083056,2.487014657,2.708320106,2.467401386
Gambia,冈比亚,GMB,军费支出（占GDP的百分比）,MS.MIL.XPND.GD.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.34090903,0.477501573,0.551225895,0.563939017,0.631086622,0.810531317,0.95839227,1.092743109,0.578908745,0.490257621,0.338576188,0.310370827,0.367245635,0.463277798,0.519690011,0.481928244,0.431932626,0.42450719,0.357026297,0.390720316,0.410205891,0.333697716,0.478246244,0.42534675,0.569182611,1.777190928,0.787806809,0,0,1.227775507,1.154547193,1.752189366,1.531847693,0,0,1.073433667
Guinea-Bissau,几内亚比绍共和国,GNB,军费支出（占GDP的百分比）,MS.MIL.XPND.GD.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008694578,0.013478315,0.015024038,0.010903144,0.024396442,0.058086957,0,0.181085044,0,0,0,0,0.317965024,0.49556809,0.566593083,0.650521153,1.404761905,0,2.628030362,1.626726771,1.558602899,1.575423111,0,2.064836713,0,0,0,1.66238647,2.017526129,1.595060468,2.475596794,2.076017639,2.038023257,1.637168369,0,0,0
Eq. Guinea,赤道几内亚,GNQ,军费支出（占GDP的百分比）,MS.MIL.XPND.GD.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.98642304,2.045616853,0,0,0,0,0,0,0,0,0,0,0,1.501825824,1.482309067,2.474929604,0,0,0,0,0.775977689,0,0.17916868,0,0
Greece,希腊,GRC,军费支出（占GDP的百分比）,MS.MIL.XPND.GD.ZS,4.85730296,4.24357,4.048429712,3.82448464,3.57356211,3.498464921,3.584687388,4.345707668,4.690180266,4.78878606,4.197302194,4.119199173,3.956525145,3.517709064,4.824468835,5.847321622,5.829227384,5.918535654,5.575444512,5.181248329,4.660805995,5.735701309,5.626593458,5.172476663,4.835444337,4.692566938,4.128015122,4.255520448,4.198232231,3.765869465,3.798260327,3.48486511,3.62980089,3.600124696,3.581972329,3.173190196,3.311913282,3.36586889,3.533868815,3.360469945,3.46535532,3.251412856,3.077374575,2.493894752,2.60567253,2.836596277,2.78341887,2.679305921,2.983052345,3.224841138,2.727009925,2.476949165,2.407691375,2.357681251,2.333584549,2.450942286,2.543063186,2.519121405,2.385281556
Grenada,格林纳达,GRD,军费支出（占GDP的百分比）,MS.MIL.XPND.GD.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
